****************************************************************************************************************************
Sayın Araştırmacı;

Bu Türkçe Duygu Sözlüğü, doktora tezi çalışması kapsamında geliştirilmiş olup,
kullanılması ve dağıtılması tamamen serbesttir. Amacımız dilimizde yapılacak
çalışmalara kaynak oluşturabilmektedir. 

Akademik amaçlı kullanımınızda, aşağıdaki yayınlara çalışmalarınızda referans vermenizi rica ederiz.

İyi çalışmalar....


REFERANS VERİLECEK YAYINLAR:
---------------------------
1) F. Sağlam, B. Genç, H. Sever, "Extending a Sentiment Lexicon with Synonym-Antonym Datasets: SWNetTR++", 
   Turkish Journal of Electrical Engineering and Computer Sciences, 27 (2019) 1806-1820. 
   
2) F. Sağlam, B. Genç, H. Sever, "Developing Turkish Sentiment Lexicon for Sentiment Analysis Using Online News Media", 
   IEEE/ACS 13th International Conference of Computer Systems and Applications (AICCSA), 
   Nov 29 – Dec 02 2016, Agadir, Morocco, 2016.   


SÖZLÜĞÜN TÜM GELİŞTİRİLME YÖNTEM VE SÜREÇLERİ HAKKINDA BÜTÜN BİLGİLER İÇİN:
--------------------------------------------------------------------------
   YÖK Tez Merkezi, 10253867 referans numaralı, 
   "Otomatik Duygu Sözlüğü Geliştirilmesi ve Haberlerin Duygu Analizi" konulu doktora tezi.


TÜRKÇE KARAKTERLERDEN DOLAYI ENCODING PROBLEMI YAŞAYANLAR İÇİN PYTHON KOD SATIRI:
--------------------------------------------------------------------------------
   import pandas as pd
   SWNetTR = pd.read_csv(r"...\YOUR_PATH\SWNetTR++.csv", sep=';', decimal=",", encoding="utf-8-sig")


Fatih SAĞLAM
fsaglam2002@yahoo.com

****************************************************************************************************************************



WORD;TONE;POLARITY
a vitamini;-0,125;-1
âb;-0,01293;-1
aba;-0,057634233;-1
abacı;0,093337439;1
âbâd etmek;0,286517439;1
âbâd eylemek;0,286517439;1
abadan;0,185150267;1
abadi;0,304247439;1
abajur;0,289147439;1
abalabut;-0,119054627;-1
aban;0,072467439;1
abandone olmak;-0,028290348;-1
abanma;-0,210049831;-1
abanmak;0,036898144;1
abanoz;-0,01703549;-1
abart;0,058897439;1
abartı;0,14497219;1
abartıcı;-0,134851088;-1
abartılı;-0,127626489;-1
abartılmamış;0,786517439;1
abartılması;0,411517439;1
abartılmış;0,067502394;1
abartırız;0,661517439;1
abartısız;0,786517439;1
abartma;0,232663216;1
abartmacı;-0,145840095;-1
abartmadan;0,786517439;1
abartmak;0,384865854;1
abartmalı;-0,429878593;-1
abartmasız;0,786517439;1
abasıyanık;-0,20794154;-1
abasızlık;-0,284204847;-1
abaşo;0,286517439;1
abat;-0,063479;-1
abat etmek;0,286517439;1
abat eylemek;0,286517439;1
abayı yakmak;0,244799502;1
abazanlık;0,286517439;1
abbağ;0,209721871;1
abd;-0,22313;-1
abdal;0,114053333;1
abdan;0,225009272;1
abdesli;0,28879681;1
abdest;0,217377439;1
abdestan;0,217377439;1
abdestbozan;0,182347439;1
abdesthane;0,171618981;1
abdias;-0,16667;-1
abdlik;-0,625;-1
abece;0,149239438;1
abecesel;0,143357439;1
abes;0,036719322;1
abesiyet;-0,09578921;-1
abeslik;-0,094344895;-1
abher;0,092055;1
ab-ı dîde;-0,04;-1
abınç;-0,1553;-1
abış;0,104507439;1
abışka;0,286517439;1
abız;0,226294734;1
abi;-0,302445144;-1
abidance;0,377427439;1
abide;0,149481939;1
abidevi;0,145859619;1
âbile;-0,125;-1
âbir;-0,172727071;-1
abis;0,104507439;1
âbisten;0,103372114;1
abiye;0,574027439;1
abiyotrofi;-0,25;-1
abla;-0,032170649;-1
ablacı;0,045263961;1
ablasyon;-0,125;-1
ablatif;0,244847439;1
ablefaron;0,536517439;1
abluka;-0,09;-1
